ADMIN_UNIT,DISTRICT,ALL_SEXES,MALE,FEMALE,TRANSGENDER,AVG_HH_SIZE
EMINABAD TC,GUJRANWALA DISTRICT,30399,15357,15038,4,6.81
DHANOTE TC,LODHRAN DISTRICT,30328,15557,14767,4,5.00
18-HAZARI MC,JHANG DISTRICT,30137,15557,14565,15,5.41
KOT GHULAM MUHAMMAD TC,MIRPUR KHAS DISTRICT,30088,15681,14405,2,5.30
FAISAL CANTONMENT (Part of Shah Faisal Sub-Division),KORANGI DISTRICT,30064,15950,14113,1,5.74
SAMASATTA TC,BAHAWALPUR DISTRICT,29622,15411,14181,30,6.03
TIBBA SULTANPUR TC,VEHARI DISTRICT,29596,15047,14547,2,6.48
BELA MC,LASBELA DISTRICT,29380,15877,13502,1,7.38
KHOSKI TC,BADIN DISTRICT,29324,15087,14236,1,4.80
SALEHPAT TC,SUKKUR DISTRICT,29068,15348,13718,2,5.30
MAKHDOOMPUR PAHORAN TC,KHANEWAL DISTRICT,29065,14913,14149,3,6.32
AWARAN MC,AWARAN DISTRICT,28780,14675,14101,4,7.22
SHAHEED,BENAZIRABAD DISTRICT,28610,14441,14152,17,5.73
PIND DADAN KHAN MC,JHELUM DISTRICT,28197,14425,13771,1,5.84
JALLA JEEM TC,VEHARI DISTRICT,28096,14172,13923,1,5.96
KALLAR KAHAR MC,CHAKWAL DISTRICT,27928,15109,12818,1,6.11
KALABAGH MC,MIANWALI DISTRICT,27916,13723,14186,7,5.58
KARAMPUR TC,VEHARI DISTRICT,27840,14303,13535,2,6.47
ISA KHEL MC,MIANWALI DISTRICT,27612,13692,13918,2,5.61
QADIRPUR RAN TC,MULTAN DISTRICT,27278,13610,13659,9,5.14
DAULTALA MC,RAWALPINDI DISTRICT,27237,13303,13932,2,5.99
TALHAR TC,BADIN DISTRICT,27231,13986,13241,4,4.55
SHAHPUR CITY TC,SARGODHA DISTRICT,27217,13984,13230,3,6.19
DOKRI TC,LARKANA DISTRICT,27125,14094,13028,3,5.58
NAUSHAHRO FEROZE,DISTRICT,27092,13567,13521,4,6.00
RAHIM YAR KHAN,DISTRICT,27029,13758,13270,1,6.74
BANGLA GOGERA TC,OKARA DISTRICT,26697,13539,13146,12,6.52
KAMBAR SHAHDAD KOT,DISTRICT,26679,14061,12617,1,7.55
KUNRI TC,UMER KOT DISTRICT,26609,13565,13043,1,5.97
PHULARWAN TC,SARGODHA DISTRICT,25749,12757,12988,4,5.68
JIWANI MC,GWADAR DISTRICT,25332,13918,11410,4,8.94
THARI MIRWAH TC,KHAIRPUR DISTRICT,25264,12777,12484,3,5.67
BAHAWALNAGAR,DISTRICT,25075,13082,11989,4,6.47
